代码,名称,最新价,PE(TTM),PB,ROE(TTM),营收同比,净利同比,毛利率,总市值,上市日期
600057,厦门象屿,6.07,12.99,1.13,8.698999230177058,2.4991398164,3.282814106048,2.5040841725,17232824322,19970604
600039,四川路桥,8.71,9.96,1.5,15.06024096385542,7.6168611679,11.195971174575,14.6716508878,75738594518,20030325
600036,招商银行,40.59,6.75,0.89,13.185185185185185,4.8314692679,2.021887094622,0.0,1023673532945,20020409
600031,三一重工,17.89,18.52,1.79,9.665226781857452,19.4868647877,9.131357029292,27.7819043049,164498629378,20030703
600027,华电国际,4.81,10.6,1.12,10.566037735849058,-9.4878166654,-20.466654046734,11.6989141213,55852633825,20050203
600026,中远海能,22.07,17.99,2.51,13.952195664257921,30.0307715685,143.213818779878,41.3930433282,120749696908,20020523
600025,华能水电,9.68,21.8,2.58,11.8348623853211,1.4544203223,-5.049088925195,57.1891827428,180348992408,20171215
600021,上海电力,13.39,20.32,1.89,9.301181102362204,-11.8763016967,-47.545978801029,23.7863294632,37784917029,20031029
600011,华能国际,6.8,9.1,1.65,18.13186813186813,-4.5728479478,-28.894287060984,17.4204841577,106747034841,20011206
600010,包钢股份,2.12,191.12,1.83,0.9575136040184177,-10.5151522617,84.610982142309,13.8850658864,95879189850,20010309
300770,新媒股份,34.55,12.83,2.12,16.523772408417774,-8.4176287463,-13.505973804745,45.3314974041,7871823319,20190419
300748,金力永磁,25.36,40.62,4.59,11.299852289512556,32.5700964295,51.576126398268,21.726013436,35046761660,20180921
300628,亿联网络,41.46,18.21,6.13,33.66282262493135,26.3958025693,22.919207249295,64.8810539173,52526435910,20170317
300483,首华燃气,23.65,26.2,2.34,8.931297709923664,30.520579815,2131.5481096929,25.3162199671,9107798051,20150630
300390,天华新能,54.2,16.17,3.28,20.284477427334565,125.0015560468,2622.89006820456,43.4926349114,45026692710,20140731
300139,晓程科技,48.48,80.66,11.26,13.959831391024052,44.2897219217,31.236486974669,64.4930277752,13283520000,20101112
300037,新宙邦,73.13,34.52,4.92,14.252607184241018,75.661099978,103.333814046492,23.914176868,55131723402,20100108
003816,中国广核,4.24,21.58,1.73,8.016682113067656,-2.7578083082,2.66222662087,45.5425165845,214115013896,20190826
002895,川恒股份,30.79,14.52,2.58,17.768595041322317,20.7627425244,4.504430573782,28.5288189914,18654687513,20170825
002867,周大生,10.33,11.69,1.8,15.397775876817793,-20.7949478626,-24.237090653095,36.9478025618,11212945315,20170427
002812,恩捷股份,48.58,45.15,1.83,4.053156146179402,50.4661972629,980.987930581185,29.893036091,47672453604,20160914
002768,国恩股份,67.89,25.77,4.16,16.14280170741172,18.052355248,89.326959373249,13.2779354612,29640774000,20150630
002738,中矿资源,44.04,21.71,2.43,11.192998618148318,12.0260226188,1146.80644510419,52.8953424443,32122109983,20141230
002716,湖南白银,9.85,62.33,6.84,10.973848868923472,92.536588686,170.338708966631,6.6180554885,27807423163,20140128
002709,天赐材料,33.36,17.2,3.39,19.709302325581397,109.2767908568,967.912088299225,33.5497255866,68006419780,20140123
002690,美亚光电,15.39,18.57,5.28,28.432956381260098,4.2021166641,4.02601082739,54.4930077851,13577502771,20120731
002668,TCL智家,9.05,9.85,2.56,25.98984771573604,4.8311382556,-19.880450879599,23.2784489449,9811208423,20120416
002648,卫星化学,26.61,10.19,2.36,23.159960745829245,30.9167563939,126.941215263143,28.0936494598,89639661811,20111228
002645,华宏科技,18.27,29.44,3.17,10.767663043478262,77.1295272198,330.296269410565,13.66473558,13759510293,20111220
002558,巨人网络,24.97,15.2,3.1,20.394736842105267,182.0797292305,175.955195411402,95.7899932646,47457032416,20110302
002555,三七互娱,17.59,11.91,2.81,23.5936188077246,-14.2759429927,26.139822741421,77.4727356415,38913260809,20110302
002545,东方铁塔,15.93,11.73,1.91,16.283034953111677,42.0267778035,97.843639194224,47.4758309154,19817908982,20110211
002532,天山铝业,12.81,8.58,1.93,22.494172494172492,14.2464397289,100.437375784535,37.3641946865,59294126286,20101231
002517,恺英网络,16.61,14.9,3.38,22.684563758389263,86.0574405848,50.344193018891,76.8728249884,35486322117,20101207
002497,雅化集团,16.61,11.18,1.57,14.042933810375672,96.0196275236,795.482310083642,31.696957063,19144063457,20101109
002493,荣盛石化,12.85,23.96,2.69,11.227045075125208,-12.9332713947,748.827018633525,15.2505101158,128364332964,20101102
002466,天齐锂业,42.76,15.85,1.52,9.589905362776026,153.3219939466,4925.45912692051,64.3882879099,73252378694,20100831
002460,赣锋锂业,46.2,15.13,2.01,13.28486450760079,175.7483215518,901.36486727518,31.5088634155,96867281465,20100810
002428,云南锗业,93.5,845.03,39.79,4.708708566559768,38.2064395166,235.307923503077,27.8680735825,61066720000,20100608
002415,海康威视,32.94,18.37,3.81,20.740337506804572,11.9673178084,39.565445501572,49.9672613158,301890868857,20100528
002407,多氟多,33.21,58.72,4.55,7.748637602179836,62.5493012967,897.194058618721,21.5703403337,39534265616,20100518
002379,宏桥控股,17.63,9.31,3.97,42.64232008592911,11.9504272706,77.024139178251,25.3784505634,229738613901,20100331
002352,顺丰控股,30.78,14.89,1.61,10.81262592343855,5.888842796,-4.109556810143,13.4479900351,162066182641,20100205
