代码,指数代码,指数名,份额
515090,931268,中证可持续发展100指数,7801700
515100,930955,中证红利低波动100指数,4252441529
515110,000859,中证国企一带一路指数,223294991
515120,931152,中证创新药产业指数,17340993564
515130,000300,沪深300指数,76463181
515150,000859,中证国企一带一路指数,398703210
515160,716567,MSCI中国A股国际通指数,245955051
515170,000815,细分食品,9048257875
515180,000922,中证红利指数,12254637000
515190,000905,中证500指数,267466080
515200,931159,中证研发创新100指数,40943230
515210,930606,中证钢铁指数,915726070
515220,399998,中证煤炭指数,10578676918
515230,H30202,中证全指软件指数,6986690872
515250,930721,中证智能汽车主题指数,375944501
515260,931461,中证电子50指数,958568426
515290,399986,中证银行指数,2814772937
515300,930740,沪深300红利低波动指数,3929675164
515310,000300,沪深300指数,230611220
515320,931461,中证电子50指数,79309000
515330,000300,沪深300指数,5384709496
515350,000300,沪深300指数,10799186
515360,000300,沪深300指数,38279341
515370,931151,中证光伏产业指数,957713000
515380,000300,沪深300指数,639999814
515390,000300,沪深300指数,1398683016
515400,930902,中证大数据产业指数,1418631400
515450,SPCLLHCP,标普中国A股大盘红利低波50指数,13735335000
515460,932315,中证全指红利质量指数,306091000
515480,930955,中证红利低波动100指数,225340713
515483,,,0
515530,000905,中证500指数,12242672
515550,000905,中证500指数,16345700
515560,399975,中证全指证券公司指数,191883311
515580,931187,中证科技100指数,310031444
515590,000982,中证500等权重指数,34113665
515600,000861,中证央企创新驱动指数,1034797416
515630,399966,中证800证券保险指数,690717720
515640,930697,中证全指家用电器指数,17050000
515650,931139,中证消费50指数,3067184013
515660,000300,沪深300指数,458794165
515680,000861,中证央企创新驱动指数,1100264710
515700,930997,中证新能源汽车产业指数,636510190
515710,000815,细分食品,2468599785
515720,930986,中证金融科技主题指数,413611000
515730,931241,中证家居家电指数,39892000
515750,931186,中证科技50策略指数,301140547
515760,931372,中证浙江国资创新发展指数,97888085
515770,718711,MSCI中国A股人民币指数,36727323
515790,931151,中证光伏产业指数,6761494000
515800,000906,中证800指数,3021437198
515810,000906,中证800指数,257908843
515840,H30192,中证全指食品指数,219426421
515843,,,0
515850,399975,中证全指证券公司指数,405790960
515860,931165,中证新兴科技100策略指数,107878938
515880,931160,中证全指通信设备指数,67271773956
515890,000922,中证红利指数,346443897
515900,000861,中证央企创新驱动指数,2226046521
515910,707717,MSCI中国A股国际质量指数,242507000
515920,930648,中证智能消费主题指数,61405683
515950,931140,中证医药50指数,605200628
515960,931166,中证医药健康100策略指数,260991927
515970,931752,中证工程机械主题指数,920088000
515980,931071,中证人工智能产业指数,5603129000
515990,000859,中证国企一带一路指数,55350160
516000,930902,中证大数据产业指数,340855000
516010,930901,中证动漫游戏指数,2128693000
516020,000813,细分化工,3722326249
516050,931087,中证科技龙头指数,152228000
516060,931152,中证创新药产业指数,331237400
516070,000977,中证内地低碳经济主题指数,293646000
516080,931152,中证创新药产业指数,3381554800
516090,399808,中证新能源指数,1888844752
516100,930986,中证金融科技主题指数,1054759670
516110,H30015,中证800汽车与零部件指数,197623127
516120,000813,细分化工,5398082000
516130,931068,中证消费龙头指数,1527890011
516150,930598,中证稀土产业指数,3821077000
516160,399808,中证新能源指数,1578642001
516180,931151,中证光伏产业指数,165987000
516190,H30365,中证文娱传媒指数,95818549
516200,399975,中证全指证券公司指数,372604000
516210,399986,中证银行指数,84131000
516220,000813,细分化工,309170000
516230,931151,中证光伏产业指数,732921000
516250,931752,中证工程机械主题指数,96878000
516260,930712,中证物联网主题指数,45882647
516270,000941,中证内地新能源主题指数,313409000
516290,931151,中证光伏产业指数,735196945
516300,000852,中证1000指数,23012592
516310,399986,中证银行指数,1760058477
516320,H11054,中证装备产业指数,80589305
516330,930712,中证物联网主题指数,4871291
516350,H30007,中证芯片产业指数,1254415318
516360,H30597,中证新材料主题指数,58551798
516370,H30199,中证全指电力公用事业指数,310408000
516380,H11052,中证智能电动汽车指数,78449259
516390,930997,中证新能源汽车产业指数,172261000
516440,931752,中证工程机械主题指数,207626581
516443,,,0
516460,932368,中证800自由现金流指数,446693000
516500,930743,中证生物科技主题指数,291937200
516510,930851,中证云计算与大数据主题指数,1404890000
